,region,Year,Born,Died,Diff,Born_,Died_,Diff_
0,Белгородская область,1970,15525,11865,3660,"12,3","9,4","2,9"
1,Белгородская область,1980,18872,16552,2320,"14,4","12,6","1,8"
2,Белгородская область,1990,18035,17910,125,"12,9","12,9",-
3,Белгородская область,1995,13696,21642,-7946,"9,4","14,8","-5,4"
4,Белгородская область,2000,12101,23291,-11190,8,"15,5","-7,5"
5,Белгородская область,2005,13486,24168,-10682,"8,9",16,"-7,1"
6,Белгородская область,2006,14382,23082,-8700,"9,5","15,3","-5,8"
7,Белгородская область,2007,15676,22417,-6741,"10,3","14,8","-4,5"
8,Белгородская область,2008,16790,22422,-5632,11,"14,7","-3,7"
9,Белгородская область,2009,16845,22011,-5166,11,"14,4","-3,4"
10,Белгородская область,2010,16635,22027,-5392,"10,9","14,4","-3,5"
11,Брянская область,1970,22409,13731,8678,"14,2","8,7","5,5"
12,Брянская область,1980,22098,18418,3680,"14,8","12,3","2,5"
13,Брянская область,1990,19102,18837,265,13,"12,9","0,1"
14,Брянская область,1995,13613,23481,-9868,"9,3",16,"-6,7"
15,Брянская область,2000,11111,25699,-14588,"7,8","18,2","-10,4"
16,Брянская область,2005,12009,26495,-14486,9,"19,8","-10,8"
17,Брянская область,2006,12092,24669,-12577,"9,1","18,6","-9,5"
18,Брянская область,2007,13349,23411,-10062,"10,2","17,8","-7,6"
19,Брянская область,2008,14259,23111,-8852,"10,9","17,7","-6,8"
20,Брянская область,2009,14401,21964,-7563,"11,1","16,9","-5,8"
21,Брянская область,2010,13727,21775,-8048,"10,7",17,"-6,3"
22,Владимирская область,1970,20425,14082,6343,"13,5","9,3","4,2"
23,Владимирская область,1980,22918,18043,4875,"14,4","11,4",3
24,Владимирская область,1990,20065,20674,-609,"12,1","12,5","-0,4"
25,Владимирская область,1995,12539,27033,-14494,"7,7","16,6","-8,9"
26,Владимирская область,2000,11918,29974,-18056,"7,6","19,1","-11,5"
27,Владимирская область,2005,13640,30074,-16434,"9,2","20,3","-11,1"
28,Владимирская область,2006,13914,28344,-14430,"9,5","19,3","-9,8"
29,Владимирская область,2007,14785,27207,-12422,"10,2","18,7","-8,5"
30,Владимирская область,2008,15569,27119,-11550,"10,8","18,8",-8
31,Владимирская область,2009,15551,26407,-10856,"10,8","18,4","-7,6"
32,Владимирская область,2010,15542,26082,-10540,"10,7",18,"-7,3"
33,Воронежская область,1970,31270,23448,7822,"12,4","9,3","3,1"
34,Воронежская область,1980,32834,31888,946,"13,3","12,9","0,4"
35,Воронежская область,1990,28517,34418,-5901,"11,5","13,9","-2,4"
36,Воронежская область,1995,20704,41585,-20881,"8,3","16,7","-8,4"
37,Воронежская область,2000,18519,43639,-25120,"7,6","17,9","-10,3"
38,Воронежская область,2005,19417,43639,-24222,"8,4","18,8","-10,4"
39,Воронежская область,2006,19257,41806,-22549,"8,4","18,1","-9,7"
40,Воронежская область,2007,20670,40561,-19891,9,"17,7","-8,7"
41,Воронежская область,2008,22361,40316,-17955,"9,8","17,7","-7,9"
42,Воронежская область,2009,23559,38581,-15022,"10,4",17,"-6,6"
43,Воронежская область,2010,23804,39767,-15963,"10,2",17,"-6,8"
44,Ивановская область,1970,16610,13142,3468,"12,7","10,1","2,6"
45,Ивановская область,1980,17895,16763,1132,"13,8",13,"0,8"
46,Ивановская область,1990,14952,18084,-3132,"11,6",14,"-2,4"
47,Ивановская область,1995,9236,23273,-14037,"7,4","18,6","-11,2"
48,Ивановская область,2000,8592,24651,-16059,"7,2","20,8","-13,6"
49,Ивановская область,2005,9639,24418,-14779,"8,7",22,"-13,3"
50,Ивановская область,2006,9820,21841,-12021,9,20,-11
51,Ивановская область,2007,10658,20372,-9714,"9,8","18,8",-9
52,Ивановская область,2008,11138,20769,-9631,"10,3","19,3",-9
53,Ивановская область,2009,11390,19887,-8497,"10,6","18,6",-8
54,Ивановская область,2010,11078,19604,-8526,"10,4","18,4",-8
55,Калужская область,1970,12766,9547,3219,"12,8","9,6","3,2"
56,Калужская область,1980,13971,12605,1366,"13,8","12,4","1,4"
57,Калужская область,1990,12839,13373,-534,12,"12,5","-0,5"
58,Калужская область,1995,8643,17986,-9343,"7,9","16,5","-8,6"
59,Калужская область,2000,7861,19254,-11393,"7,4","18,1","-10,7"
60,Калужская область,2005,9015,19561,-10546,"8,9","19,2","-10,3"
61,Калужская область,2006,9264,17853,-8589,"9,2","17,6","-8,4"
62,Калужская область,2007,10099,17377,-7278,10,"17,3","-7,3"
63,Калужская область,2008,10491,17374,-6883,"10,4","17,3","-6,9"
64,Калужская область,2009,10537,16762,-6225,"10,5","16,7","-6,2"
65,Калужская область,2010,11131,16730,-5599,11,"16,5","-5,5"
